Zona Eleitoral;Código Município TSE;Município;Bairro;Endereço do Local;CEP do Local;Número do Local;Local de Votação;Seções;Eleitores aptos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 861,;22060000;2402;CAIXA ECONOMICA FEDERAL - NSC 861;5;1398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA BARÃO DE IPANEMA, N 85;22060020;2410;PENSI - COLEGIO E CURSO - BI 85;6;2605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA BOLÍVAR, 121,;22061020;2429;COLEGIO MALLET SOARES - B 121;9;3307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 1049-A,;22060000;2437;INSS - NSC 1049;5;2222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA POMPEU LOUREIRO, 45,;22061000;2445;SENAC - PL 45;7;2456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;PRAÇA CARDEAL ARCOVERDE, S/N,;22040030;2461;ESCOLA MUNICIPAL SENADOR ALENCASTRO GUIMARÃES - PÇ CAV;17;4585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 387,;22031000;2470;BANCO ITAÚ - NSC 387;2;538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 730,;22050000;2488;BANCO ITAÚ - NSC 730;3;1008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 661,;22050000;2496;BANCO SANTANDER - NSC 661;4;1062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA BARATA RIBEIRO, 489,;22040001;2500;CLUBE ISRAELITA BRASILEIRO (CIB) - BR 489;9;3550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 619, SL,;22050000;2526;CULTURA INGLESA - NSC 619;3;1057;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 690,;22050000;2534;INSTITUTO BRASIL-ESTADOS UNIDOS (IBEU) - NSC 690;5;1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;RUA CINCO DE JULHO, 99;22051030;2550;CRECHE ESCOLA PRIMEIRA -UNIDADE 2 - CJ 99;4;1707;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 827-A,;22050002;2569;BANCO BANRISUL - NSC 827;4;1209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;60011;RIO DE JANEIRO;COPACABANA;AV. NOSSA SENHORA DE COPACABANA, 1120 A - PRAÇA;22070010;2577;BANCO ITAÚ - NSC 1120;5;1777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA CONDE DE BONFIM 193;20520050;1082;BANCO SANTANDER S/A (PRÓX. HORTIFRUTI);5;2459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA SÃO FRANCISCO XAVIER 11;20550010;1112;COLÉGIO SANTA TERESA DE JESUS;10;4473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA ALZIRA BRANDÃO 500;20550035;1155;ESCOLA MUNICIPAL GENERAL EUCLYDES DE FIGUEIREDO;7;3117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA DOS ARAÚJOS 31;20521000;1163;INSTITUTO BRAGA CARNEIRO;5;2373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA BARÃO DE MESQUITA 248-A;20540003;1180;BANCO DO BRASIL (R. BARÃO DE MESQUITA);5;1481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA CONDE DE BONFIM 682-A;20520055;1228;BANCO BRADESCO S/A (ESQ. R. URUGUAI);4;1732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA CONDE DE BONFIM 604;20520055;1309;CAIXA ECONÔMICA FEDERAL (PRÓX. KALUNGA);3;1250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA HOMEM DE MELO 292;20510180;1341;ESCOLA MUNICIPAL ALMIRANTE BARROSO;5;2360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA ANDRADE NEVES 481;20510230;1350;ESCOLA MUNICIPAL BARÃO DE ITACURUSSÁ;14;4830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA PINTO DE FIGUEIREDO 64;20511240;1449;BANCO BRADESCO S/A (R. PINTO DE FIGUEIREDO);4;1328;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;60011;RIO DE JANEIRO;TIJUCA;RUA CONDE DE BONFIM 369 A;20520051;1473;BANCO DO BRASIL (PRAÇA);3;1359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
